Year,Lg,Team,W,L,Winpct
1996,NBA,POR,49,33,0.598
1996,NBA,UTA,64,18,0.78
1996,NBA,CLE,42,40,0.512
1996,NBA,DET,54,28,0.659
1996,NBA,MIL,33,49,0.402
1996,NBA,IND,39,43,0.476
1996,NBA,CHI,69,13,0.841
1996,NBA,GSW,30,52,0.366
1996,NBA,LAC,36,46,0.439
1996,NBA,PHX,40,42,0.488
1996,NBA,SAC,34,48,0.415
1996,NBA,LAL,56,26,0.683
1996,NBA,WSB,44,38,0.537
1996,NBA,MIA,61,21,0.744
1996,NBA,CHH,54,28,0.659
1996,NBA,ORL,45,37,0.549
1996,NBA,ATL,56,26,0.683
1996,NBA,HOU,57,25,0.695
1996,NBA,SAS,20,62,0.244
1996,NBA,DAL,24,58,0.293
1996,NBA,VAN,14,68,0.171
1995,NBA,BOS,33,49,0.402
1995,NBA,TOR,21,61,0.256
1995,NBA,NYK,47,35,0.573
1995,NBA,PHI,18,64,0.22
1995,NBA,NJN,30,52,0.366
1995,NBA,MIN,26,56,0.317
1995,NBA,SEA,64,18,0.78
1995,NBA,DEN,35,47,0.427
1995,NBA,POR,44,38,0.537
1995,NBA,UTA,55,27,0.671
1995,NBA,CLE,47,35,0.573
1995,NBA,DET,46,36,0.561
1995,NBA,MIL,25,57,0.305
1995,NBA,IND,52,30,0.634
1995,NBA,CHI,72,10,0.878
1995,NBA,GSW,36,46,0.439
1995,NBA,LAC,29,53,0.354
1995,NBA,PHX,41,41,0.5
1995,NBA,SAC,39,43,0.476
1995,NBA,LAL,53,29,0.646
1995,NBA,WSB,39,43,0.476
1995,NBA,MIA,42,40,0.512
1995,NBA,CHH,41,41,0.5
1995,NBA,ORL,60,22,0.732
1995,NBA,ATL,46,36,0.561
1995,NBA,HOU,48,34,0.585
1995,NBA,SAS,59,23,0.72
1995,NBA,DAL,26,56,0.317
1995,NBA,VAN,15,67,0.183
1994,NBA,BOS,35,47,0.427
1994,NBA,NYK,55,27,0.671
1994,NBA,PHI,24,58,0.293
1994,NBA,NJN,30,52,0.366
1994,NBA,MIN,21,61,0.256
1994,NBA,SEA,57,25,0.695
1994,NBA,DEN,41,41,0.5
1994,NBA,POR,44,38,0.537
1994,NBA,UTA,60,22,0.732
1994,NBA,CLE,43,39,0.524
1994,NBA,DET,28,54,0.341
1994,NBA,MIL,34,48,0.415
1994,NBA,IND,52,30,0.634
1994,NBA,CHI,47,35,0.573
1994,NBA,GSW,26,56,0.317
1994,NBA,LAC,17,65,0.207
1994,NBA,PHX,59,23,0.72
1994,NBA,SAC,39,43,0.476
1994,NBA,LAL,48,34,0.585
1994,NBA,WSB,21,61,0.256
1994,NBA,MIA,32,50,0.39
1994,NBA,CHH,50,32,0.61
1994,NBA,ORL,57,25,0.695
1994,NBA,ATL,42,40,0.512
1994,NBA,HOU,47,35,0.573
1994,NBA,SAS,62,20,0.756
1994,NBA,DAL,36,46,0.439
1993,NBA,BOS,32,50,0.39
1993,NBA,NYK,57,25,0.695
1993,NBA,PHI,25,57,0.305
1993,NBA,NJN,45,37,0.549
1993,NBA,MIN,20,62,0.244
1993,NBA,SEA,63,19,0.768
1993,NBA,DEN,42,40,0.512
1993,NBA,POR,47,35,0.573
1993,NBA,UTA,53,29,0.646
1993,NBA,CLE,47,35,0.573
1993,NBA,DET,20,62,0.244
1993,NBA,MIL,20,62,0.244
1993,NBA,IND,47,35,0.573
1993,NBA,CHI,55,27,0.671
1993,NBA,GSW,50,32,0.61
1993,NBA,LAC,27,55,0.329
1993,NBA,PHX,56,26,0.683
1993,NBA,SAC,28,54,0.341
1993,NBA,LAL,33,49,0.402
1993,NBA,WSB,24,58,0.293
1993,NBA,MIA,42,40,0.512
1993,NBA,CHH,41,41,0.5
1993,NBA,ORL,50,32,0.61
1993,NBA,ATL,57,25,0.695
1993,NBA,HOU,58,24,0.707
1993,NBA,SAS,55,27,0.671
1993,NBA,DAL,13,69,0.159
1992,NBA,BOS,48,34,0.585
